name,id,name_type,class,mass,fall,year,lat,long,geolocation,country,mass_range,group
Borkut,5113,Valid,L5,7000.0,Fell,1852,48.15,24.28333,"(48.15, 24.28333)",Ukraine,1000-9999,Chondrites
Borodino,5114,Valid,H5,500.0,Fell,1812,55.46667,35.86667,"(55.46667, 35.86667)",Russia,0-999,Chondrites
Botschetschki,5117,Valid,L4,614.0,Fell,1823,51.33333,33.88333,"(51.33333, 33.88333)",Ukraine,0-999,Chondrites
Boumdeid (2003),57168,Valid,L6,190.0,Fell,2003,17.71067,-11.3715,"(17.71067, -11.3715)",Mauritania,0-999,Chondrites
Boumdeid (2011),57167,Valid,L6,3599.0,Fell,2011,17.17493,-11.34133,"(17.17493, -11.34133)",Mauritania,1000-9999,Chondrites
Bovedy,5121,Valid,L3,5460.0,Fell,1969,54.56667,-6.33333,"(54.56667, -6.33333)",United Kingdom,1000-9999,Chondrites
Bradford Woods,5128,Valid,L,762.0,Fell,1886,40.5,-80.08333,"(40.5, -80.08333)",United States,0-999,Chondrites
Braunau,5133,Valid,"Iron, IIAB",39000.0,Fell,1847,50.6,16.3,"(50.6, 16.3)",Czechia,10000-99999,Iron meteorites
Breitscheid,5134,Valid,H5,1500.0,Fell,1956,50.66694,8.18361,"(50.66694, 8.18361)",Germany,1000-9999,Chondrites
Bremerv̦rde,5135,Valid,H/L3.9,7250.0,Fell,1855,53.4,9.1,"(53.4, 9.1)",Germany,1000-9999,Chondrites
Brient,5140,Valid,Eucrite-pmict,219.0,Fell,1933,52.13333,59.31667,"(52.13333, 59.31667)",Russia,0-999,Achondrites
Bruderheim,5156,Valid,L6,303000.0,Fell,1960,53.9,-112.88333,"(53.9, -112.88333)",Canada,100000-999999,Chondrites
Bukhara,30448,Valid,CV3,5300.0,Fell,2001,39.77978,64.60035,"(39.77978, 64.60035)",Uzbekistan,1000-9999,Chondrites
